,m,n,strain angle,twist angle,EST. atom number
284,46,19,90.52449567416168,1.6927145317974326,6992
285,46,20,90.41373765593464,1.6927145317974326,7360
286,46,21,90.31351442443506,1.6927145317974326,7728
287,46,22,90.22239172023833,1.6927145317974326,8096
288,46,23,90.13918425286056,1.6927145317974326,8464
289,46,24,90.06290394166389,1.6927145317974326,8832
290,46,25,89.99272055018463,1.6927145317974326,9200
291,46,26,89.92793138551731,1.6927145317974326,9568
292,46,27,89.86793771795524,1.6927145317974326,9936
293,46,28,89.81222624439145,1.6927145317974326,10304
294,46,29,89.760354380417,1.6927145317974326,10672
295,46,30,89.71193848938857,1.6927145317974326,11040
296,46,31,89.66664438640989,1.6927145317974326,11408
297,46,32,89.6241796203823,1.6927145317974326,11776
298,46,33,89.58428715752112,1.6927145317974326,12144
299,46,34,89.54674017820473,1.6927145317974326,12512
300,46,35,89.51133776478265,1.6927145317974326,12880
301,46,36,89.47790130731578,1.6927145317974326,13248
302,46,37,89.44627149158234,1.6927145317974326,13616
303,46,38,89.41630576220908,1.6927145317974326,13984
304,47,19,90.56049058773357,1.6567196182255786,7144
305,47,20,90.44973256950652,1.6567196182255786,7520
306,47,21,90.34950933800692,1.6567196182255786,7896
307,47,22,90.2583866338102,1.6567196182255786,8272
308,47,23,90.17517916643241,1.6567196182255786,8648
309,47,24,90.09889885523573,1.6567196182255786,9024
310,47,25,90.02871546375648,1.6567196182255786,9400
311,47,26,89.96392629908917,1.6567196182255786,9776
312,47,27,89.90393263152708,1.6567196182255786,10152
313,47,28,89.84822115796331,1.6567196182255786,10528
314,47,29,89.79634929398885,1.6567196182255786,10904
315,47,30,89.74793340296043,1.6567196182255786,11280
316,47,31,89.70263929998173,1.6567196182255786,11656
317,47,32,89.66017453395413,1.6567196182255786,12032
318,47,33,89.62028207109297,1.6567196182255786,12408
319,47,34,89.58273509177658,1.6567196182255786,12784
320,47,35,89.54733267835451,1.6567196182255786,13160
321,47,36,89.51389622088763,1.6567196182255786,13536
322,47,37,89.48226640515419,1.6567196182255786,13912
323,47,38,89.45230067578093,1.6567196182255786,14288
324,47,39,89.42387108930954,1.6567196182255786,14664
325,48,19,90.59498694112209,1.622223264837049,7296
326,48,20,90.48422892289506,1.622223264837049,7680
327,48,21,90.38400569139546,1.622223264837049,8064
328,48,22,90.29288298719874,1.622223264837049,8448
329,48,23,90.20967551982095,1.622223264837049,8832
330,48,24,90.13339520862426,1.622223264837049,9216
331,48,25,90.06321181714502,1.622223264837049,9600
332,48,26,89.9984226524777,1.622223264837049,9984
333,48,27,89.93842898491562,1.622223264837049,10368
334,48,28,89.88271751135183,1.622223264837049,10752
335,48,29,89.83084564737737,1.622223264837049,11136
336,48,30,89.78242975634896,1.622223264837049,11520
337,48,31,89.73713565337026,1.622223264837049,11904
338,48,32,89.69467088734267,1.622223264837049,12288
339,48,33,89.6547784244815,1.622223264837049,12672
340,48,34,89.61723144516512,1.622223264837049,13056
341,48,35,89.58182903174304,1.622223264837049,13440
342,48,36,89.54839257427615,1.622223264837049,13824
343,48,37,89.51676275854273,1.622223264837049,14208
344,48,38,89.48679702916947,1.622223264837049,14592
345,48,39,89.45836744269806,1.622223264837049,14976
346,48,40,89.43135884241615,1.622223264837049,15360
347,48,41,89.40566730006908,1.622223264837049,15744
348,49,20,90.51731836757862,1.5891338201534706,7840
349,49,21,90.41709513607903,1.5891338201534706,8232
350,49,22,90.3259724318823,1.5891338201534706,8624
351,49,23,90.24276496450453,1.5891338201534706,9016
352,49,24,90.16648465330783,1.5891338201534706,9408
353,49,25,90.09630126182861,1.5891338201534706,9800
354,49,26,90.03151209716128,1.5891338201534706,10192
355,49,27,89.9715184295992,1.5891338201534706,10584
356,49,28,89.91580695603541,1.5891338201534706,10976
357,49,29,89.86393509206097,1.5891338201534706,11368
358,49,30,89.81551920103253,1.5891338201534706,11760
359,49,31,89.77022509805384,1.5891338201534706,12152
360,49,32,89.72776033202625,1.5891338201534706,12544
361,49,33,89.68786786916507,1.5891338201534706,12936
362,49,34,89.6503208898487,1.5891338201534706,13328
363,49,35,89.61491847642662,1.5891338201534706,13720
364,49,36,89.58148201895973,1.5891338201534706,14112
365,49,37,89.5498522032263,1.5891338201534706,14504
366,49,38,89.51988647385303,1.5891338201534706,14896
367,49,39,89.49145688738164,1.5891338201534706,15288
368,49,40,89.46444828709973,1.5891338201534706,15680
369,49,41,89.43875674475265,1.5891338201534706,16072
370,49,42,89.41428822469595,1.5891338201534706,16464
371,50,20,90.54908523232879,1.557366955403302,8000
372,50,21,90.4488620008292,1.557366955403302,8400
373,50,22,90.35773929663247,1.557366955403302,8800
374,50,23,90.2745318292547,1.557366955403302,9200
375,50,24,90.19825151805802,1.557366955403302,9600
376,50,25,90.12806812657878,1.557366955403302,10000
377,50,26,90.06327896191145,1.557366955403302,10400
378,50,27,90.00328529434937,1.557366955403302,10800
379,50,28,89.94757382078558,1.557366955403302,11200
380,50,29,89.89570195681112,1.557366955403302,11600
381,50,30,89.8472860657827,1.557366955403302,12000
382,50,31,89.80199196280401,1.557366955403302,12400
383,50,32,89.75952719677642,1.557366955403302,12800
384,50,33,89.71963473391526,1.557366955403302,13200
385,50,34,89.68208775459887,1.557366955403302,13600
386,50,35,89.64668534117679,1.557366955403302,14000
387,50,36,89.6132488837099,1.557366955403302,14400
388,50,37,89.58161906797648,1.557366955403302,14800
389,50,38,89.55165333860322,1.557366955403302,15200
390,50,39,89.5232237521318,1.557366955403302,15600
391,50,40,89.4962151518499,1.557366955403302,16000
392,50,41,89.47052360950282,1.557366955403302,16400
393,50,42,89.44605508944612,1.557366955403302,16800
394,50,43,89.42272429905792,1.557366955403302,17200
395,50,44,89.40045369580352,1.557366955403302,17600
396,51,20,90.57960724004909,1.526844947683012,8160
397,51,21,90.47938400854947,1.526844947683012,8568
398,51,22,90.38826130435275,1.526844947683012,8976
399,51,23,90.30505383697498,1.526844947683012,9384
400,51,24,90.22877352577831,1.526844947683012,9792
401,51,25,90.15859013429906,1.526844947683012,10200
402,51,26,90.09380096963173,1.526844947683012,10608
403,51,27,90.03380730206965,1.526844947683012,11016
404,51,28,89.97809582850587,1.526844947683012,11424
405,51,29,89.92622396453142,1.526844947683012,11832
406,51,30,89.87780807350299,1.526844947683012,12240
407,51,31,89.8325139705243,1.526844947683012,12648
408,51,32,89.79004920449671,1.526844947683012,13056
409,51,33,89.75015674163554,1.526844947683012,13464
410,51,34,89.71260976231915,1.526844947683012,13872
411,51,35,89.67720734889708,1.526844947683012,14280
412,51,36,89.6437708914302,1.526844947683012,14688
413,51,37,89.61214107569675,1.526844947683012,15096
414,51,38,89.5821753463235,1.526844947683012,15504
415,51,39,89.5537457598521,1.526844947683012,15912
416,51,40,89.52673715957019,1.526844947683012,16320
417,51,41,89.50104561722311,1.526844947683012,16728
418,51,42,89.47657709716641,1.526844947683012,17136
419,51,43,89.45324630677821,1.526844947683012,17544
420,51,44,89.43097570352381,1.526844947683012,17952
421,51,45,89.40969463432283,1.526844947683012,18360
422,52,21,90.50873291054226,1.4974960456902324,8736
423,52,22,90.41761020634554,1.4974960456902324,9152
424,52,23,90.33440273896777,1.4974960456902324,9568
425,52,24,90.25812242777107,1.4974960456902324,9984
426,52,25,90.18793903629184,1.4974960456902324,10400
427,52,26,90.12314987162452,1.4974960456902324,10816
428,52,27,90.06315620406244,1.4974960456902324,11232
429,52,28,90.00744473049865,1.4974960456902324,11648
430,52,29,89.9555728665242,1.4974960456902324,12064
431,52,30,89.90715697549577,1.4974960456902324,12480
432,52,31,89.86186287251708,1.4974960456902324,12896
433,52,32,89.81939810648949,1.4974960456902324,13312
434,52,33,89.77950564362831,1.4974960456902324,13728
435,52,34,89.74195866431194,1.4974960456902324,14144
436,52,35,89.70655625088986,1.4974960456902324,14560
437,52,36,89.67311979342298,1.4974960456902324,14976
438,52,37,89.64148997768953,1.4974960456902324,15392
439,52,38,89.61152424831627,1.4974960456902324,15808
440,52,39,89.58309466184488,1.4974960456902324,16224
441,52,40,89.55608606156297,1.4974960456902324,16640
442,52,41,89.53039451921589,1.4974960456902324,17056
443,52,42,89.5059259991592,1.4974960456902324,17472
444,52,43,89.48259520877099,1.4974960456902324,17888
445,52,44,89.46032460551659,1.4974960456902324,18304
446,52,45,89.43904353631561,1.4974960456902324,18720
447,52,46,89.41868748909391,1.4974960456902324,19136
448,53,21,90.53697504908881,1.4692539071436914,8904
449,53,22,90.44585234489209,1.4692539071436914,9328
450,53,23,90.3626448775143,1.4692539071436914,9752
451,53,24,90.28636456631763,1.4692539071436914,10176
452,53,25,90.21618117483837,1.4692539071436914,10600
453,53,26,90.15139201017105,1.4692539071436914,11024
454,53,27,90.09139834260897,1.4692539071436914,11448
455,53,28,90.0356868690452,1.4692539071436914,11872
456,53,29,89.98381500507072,1.4692539071436914,12296
457,53,30,89.9353991140423,1.4692539071436914,12720
458,53,31,89.89010501106362,1.4692539071436914,13144
459,53,32,89.84764024503603,1.4692539071436914,13568
460,53,33,89.80774778217487,1.4692539071436914,13992
461,53,34,89.77020080285848,1.4692539071436914,14416
462,53,35,89.73479838943639,1.4692539071436914,14840
463,53,36,89.70136193196952,1.4692539071436914,15264
464,53,37,89.66973211623609,1.4692539071436914,15688
465,53,38,89.63976638686283,1.4692539071436914,16112
466,53,39,89.61133680039143,1.4692539071436914,16536
467,53,40,89.5843282001095,1.4692539071436914,16960
468,53,41,89.55863665776243,1.4692539071436914,17384
469,53,42,89.53416813770573,1.4692539071436914,17808
470,53,43,89.51083734731753,1.4692539071436914,18232
471,53,44,89.48856674406312,1.4692539071436914,18656
472,53,45,89.46728567486214,1.4692539071436914,19080
473,53,46,89.44692962764046,1.4692539071436914,19504
474,53,47,89.42743957837013,1.4692539071436914,19928
475,53,48,89.40876141968161,1.4692539071436914,20352
476,54,21,90.56417185761848,1.442057098614025,9072
477,54,22,90.47304915342175,1.442057098614025,9504
478,54,23,90.38984168604398,1.442057098614025,9936
479,54,24,90.3135613748473,1.442057098614025,10368
480,54,25,90.24337798336806,1.442057098614025,10800
481,54,26,90.17858881870072,1.442057098614025,11232
482,54,27,90.11859515113865,1.442057098614025,11664
483,54,28,90.06288367757486,1.442057098614025,12096
484,54,29,90.0110118136004,1.442057098614025,12528
485,54,30,89.96259592257198,1.442057098614025,12960
486,54,31,89.91730181959328,1.442057098614025,13392
487,54,32,89.8748370535657,1.442057098614025,13824
488,54,33,89.83494459070452,1.442057098614025,14256
489,54,34,89.79739761138815,1.442057098614025,14688
490,54,35,89.76199519796607,1.442057098614025,15120
491,54,36,89.72855874049918,1.442057098614025,15552
492,54,37,89.69692892476574,1.442057098614025,15984
493,54,38,89.66696319539248,1.442057098614025,16416
494,54,39,89.6385336089211,1.442057098614025,16848
495,54,40,89.61152500863918,1.442057098614025,17280
496,54,41,89.5858334662921,1.442057098614025,17712
497,54,42,89.5613649462354,1.442057098614025,18144
498,54,43,89.53803415584719,1.442057098614025,18576
499,54,44,89.51576355259279,1.442057098614025,19008
500,54,45,89.4944824833918,1.442057098614025,19440
501,54,46,89.47412643617012,1.442057098614025,19872
502,54,47,89.45463638689981,1.442057098614025,20304
503,54,48,89.43595822821129,1.442057098614025,20736
504,54,49,89.41804226793217,1.442057098614025,21168
505,54,50,89.4008427877689,1.442057098614025,21600
506,55,21,90.59038030639637,1.4158486498361222,9240
507,55,22,90.49925760219966,1.4158486498361222,9680
508,55,23,90.41605013482189,1.4158486498361222,10120
509,55,24,90.33976982362519,1.4158486498361222,10560
510,55,25,90.26958643214594,1.4158486498361222,11000
511,55,26,90.20479726747864,1.4158486498361222,11440
512,55,27,90.14480359991656,1.4158486498361222,11880
513,55,28,90.08909212635275,1.4158486498361222,12320
514,55,29,90.0372202623783,1.4158486498361222,12760
515,55,30,89.98880437134987,1.4158486498361222,13200
516,55,31,89.94351026837118,1.4158486498361222,13640
517,55,32,89.90104550234359,1.4158486498361222,14080
518,55,33,89.86115303948243,1.4158486498361222,14520
519,55,34,89.82360606016606,1.4158486498361222,14960
520,55,35,89.78820364674397,1.4158486498361222,15400
521,55,36,89.75476718927709,1.4158486498361222,15840
522,55,37,89.72313737354365,1.4158486498361222,16280
523,55,38,89.69317164417039,1.4158486498361222,16720
524,55,39,89.664742057699,1.4158486498361222,17160
525,55,40,89.63773345741707,1.4158486498361222,17600
526,55,41,89.61204191507001,1.4158486498361222,18040
527,55,42,89.58757339501331,1.4158486498361222,18480
528,55,43,89.56424260462511,1.4158486498361222,18920
529,55,44,89.5419720013707,1.4158486498361222,19360
530,55,45,89.52069093216971,1.4158486498361222,19800
531,55,46,89.50033488494802,1.4158486498361222,20240
532,55,47,89.4808448356777,1.4158486498361222,20680
533,55,48,89.46216667698918,1.4158486498361222,21120
534,55,49,89.44425071671007,1.4158486498361222,21560
535,55,50,89.4270512365468,1.4158486498361222,22000
536,55,51,89.4105261026594,1.4158486498361222,22440
537,56,22,90.52453059633154,1.3905756557042441,9856
538,56,23,90.44132312895377,1.3905756557042441,10304
539,56,24,90.36504281775707,1.3905756557042441,10752
540,56,25,90.29485942627781,1.3905756557042441,11200
541,56,26,90.23007026161049,1.3905756557042441,11648
542,56,27,90.17007659404844,1.3905756557042441,12096
543,56,28,90.11436512048463,1.3905756557042441,12544
